y,gender,senior,married,time,phone,lines,internet,security,backup,protection,support,TV,movies,billing,payment,chargesMonth,chargesTotal
2,Male,0,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,84.75,3050.15
1,Female,0,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),19.55,470.2
2,Male,0,No,12,Yes,No,DSL,No,No,No,No,No,No,Yes,Bank transfer (automatic),45.4,518.9
1,Female,0,No,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,105.1,3634.8
1,Male,0,Yes,27,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,No,Electronic check,100.75,2793.55
1,Female,0,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),103.2,5744.35
1,Male,0,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.55,1305.95
2,Male,0,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,No,Electronic check,69.65,220.1
2,Female,0,Yes,11,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,Credit card (automatic),96.2,1222.05
1,Female,0,No,24,Yes,No,DSL,No,No,Yes,No,No,No,Yes,Credit card (automatic),49.3,1233.25
2,Female,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.9,20.9
1,Female,0,Yes,34,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Mailed check,84.75,2839.45
1,Female,0,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.4,578.5
1,Female,1,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.05,91.45
2,Female,0,No,3,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,No,Electronic check,85.8,272.2
2,Female,0,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Mailed check,75.3,75.3
2,Male,0,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),118.35,7804.15
2,Female,0,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,Electronic check,80.45,1072
1,Male,0,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.1,533.9
1,Male,0,No,72,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),61.2,4390.25
1,Male,0,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),20.95,495.15
1,Female,0,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19.8,160.05
1,Female,0,No,69,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),85.35,5897.4
1,Male,0,Yes,7,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,No,Credit card (automatic),49.65,305.55
1,Male,0,No,24,Yes,Yes,DSL,No,No,No,Yes,No,No,No,Bank transfer (automatic),54.6,1242.25
1,Female,0,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.75,498.1
2,Male,0,No,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,Electronic check,74.55,824.75
2,Female,0,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Credit card (automatic),85.2,627.4
1,Female,0,No,4,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Yes,Mailed check,64.4,253
2,Female,0,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,No,Electronic check,90.6,90.6
1,Female,0,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19.35,1263.85
1,Male,0,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Credit card (automatic),97.55,6669.05
1,Male,0,No,30,Yes,No,DSL,Yes,No,Yes,No,No,No,Yes,Mailed check,55.65,1653.85
1,Female,0,Yes,47,Yes,No,DSL,No,Yes,No,Yes,No,Yes,No,Bank transfer (automatic),63.8,3007.25
2,Female,1,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),104.75,5510.65
2,Male,0,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),73.25,131.05
1,Female,0,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.65,708.8
1,Female,0,No,28,Yes,No,DSL,No,No,Yes,No,Yes,No,Yes,Bank transfer (automatic),59.55,1646.45
1,Male,0,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),25.6,1784.9
2,Male,1,No,1,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Yes,Electronic check,43.3,43.3
1,Female,0,No,44,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Mailed check,77.55,3471.1
1,Female,0,No,30,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Yes,Credit card (automatic),68.95,2038.7
1,Female,0,No,68,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Mailed check,54.45,3687.75
2,Female,0,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Bank transfer (automatic),80.25,846
1,Male,0,No,59,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Yes,Electronic check,51.7,3005.8
1,Male,0,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Yes,Bank transfer (automatic),85.5,5696.6
1,Male,0,Yes,17,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,No,Electronic check,54.6,934.8
1,Female,1,Yes,46,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,No,Electronic check,100.25,4753.85
1,Female,0,Yes,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,Credit card (automatic),95.1,4060.55
1,Female,0,Yes,33,Yes,No,DSL,No,No,No,Yes,No,No,Yes,Mailed check,51.45,1758.9
2,Female,1,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,No,Credit card (automatic),91.7,2758.15
1,Male,0,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.9,1363.45
2,Female,0,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.15,156.25
1,Female,0,No,19,Yes,Yes,DSL,No,No,Yes,No,No,No,Yes,Mailed check,56.1,1033.9
2,Female,1,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.55,622.9
1,Male,0,Yes,42,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Mailed check,54.5,2301.15
1,Female,1,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),110.1,7746.7
1,Male,0,No,2,Yes,No,DSL,No,No,No,Yes,Yes,Yes,No,Electronic check,70.3,132.4
1,Female,0,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),20.7,39.85
1,Male,0,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,24.55,1331.05
1,Female,1,Yes,68,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Yes,Bank transfer (automatic),60.65,3975.9
1,Male,1,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),25,1802.55
1,Female,0,Yes,59,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Yes,Credit card (automatic),81.25,4639.45
1,Male,0,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,92,266.8
1,Male,0,No,57,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,86.9,4939.25
1,Female,1,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Credit card (automatic),110.6,7210.85
1,Male,1,Yes,27,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),84.8,2309.55
1,Female,1,Yes,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),108.8,7082.45
1,Male,1,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),25,1501.75
1,Male,0,Yes,51,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,Credit card (automatic),60.5,3121.45
2,Female,0,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,No,Mailed check,70.9,70.9
2,Male,0,No,2,Yes,Yes,DSL,No,No,No,No,No,Yes,No,Bank transfer (automatic),62.05,118.3
1,Female,0,Yes,2,No,No phone service,DSL,No,No,No,Yes,No,No,No,Bank transfer (automatic),29.05,44.75
2,Male,1,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,100.5,918.6
1,Male,0,Yes,38,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,No,Credit card (automatic),69,2669.45
1,Female,0,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.9,601.55
1,Male,0,Yes,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Electronic check,85.25,5538.35
1,Male,0,Yes,60,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,No,Bank transfer (automatic),76.95,4543.95
2,Male,1,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Electronic check,81.45,2122.05
1,Female,0,Yes,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,No,Electronic check,90.55,5116.6
1,Male,0,No,29,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,No,Mailed check,89.65,2623.65
2,Female,1,Yes,2,Yes,No,DSL,No,Yes,No,No,No,No,No,Credit card (automatic),50.15,115.1
1,Male,0,Yes,70,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Yes,Credit card (automatic),39.15,2692.75
1,Male,0,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.35,324.8
1,Female,0,Yes,52,Yes,No,DSL,No,No,Yes,No,No,No,Yes,Bank transfer (automatic),50.95,2610.65
2,Male,0,Yes,53,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Bank transfer (automatic),94.25,4867.95
1,Male,0,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.35,152.6
1,Male,0,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.6,754
1,Female,0,No,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),83.2,1130
1,Male,0,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.95,373.5
2,Female,0,No,52,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Credit card (automatic),111.25,5916.45
1,Male,0,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.65,68.35
1,Male,0,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),100.9,7459.05
2,Female,0,Yes,9,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Bank transfer (automatic),75.75,655.9
2,Male,1,Yes,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Electronic check,100.7,4541.2
2,Male,1,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.4,74.4
2,Male,0,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,85.25,855.3
2,Male,1,Yes,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,111.95,4534.9
1,Male,0,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,75.1,75.1
1,Male,0,Yes,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,Credit card (automatic),90.35,4614.55
1,Male,0,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,18.95,110.15
1,Male,0,No,32,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Credit card (automatic),93.4,2979.3
1,Female,0,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),86.6,6350.5
2,Male,0,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,105.7,2979.5
2,Female,0,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Credit card (automatic),83.9,3233.6
1,Male,1,Yes,59,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),64.05,3886.85
1,Male,0,No,9,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Mailed check,69.5,653.25
2,Female,0,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Electronic check,102.45,102.45
1,Male,0,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),20.05,614.45
1,Female,0,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.95,58
1,Male,0,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.15,165.5
1,Female,1,Yes,23,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Electronic check,95.1,2326.05
1,Female,0,Yes,67,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Mailed check,65.65,4322.85
1,Female,0,Yes,49,Yes,Yes,DSL,No,No,No,No,No,No,Yes,Credit card (automatic),52.15,2583.75
1,Female,0,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.2,1027.25
1,Female,0,Yes,60,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Credit card (automatic),59.85,3590.2
1,Female,1,Yes,26,Yes,No,DSL,No,No,Yes,No,No,Yes,No,Mailed check,60.7,1597.4
1,Male,0,No,34,Yes,No,DSL,No,Yes,No,No,No,No,Yes,Electronic check,49.8,1734.2
1,Male,0,No,20,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Yes,Electronic check,68.7,1416.2
1,Male,1,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Yes,Electronic check,93.25,5774.55
1,Female,0,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Bank transfer (automatic),48.45,48.45
1,Male,0,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Electronic check,90.35,6325.25
1,Male,1,No,55,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),50.05,2743.45
1,Female,1,No,14,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,No,Mailed check,39.7,692.35
1,Male,1,Yes,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,104.45,2184.85
2,Male,0,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,98.7,293.65
1,Female,0,No,2,Yes,No,DSL,No,Yes,No,No,No,No,No,Mailed check,49.2,103.7
1,Female,1,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Yes,Electronic check,83.4,4113.7
2,Female,0,No,7,No,No phone service,DSL,No,Yes,No,No,No,Yes,Yes,Credit card (automatic),40.1,293.3
1,Female,0,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,No,Credit card (automatic),88.6,2888.7
1,Female,0,Yes,49,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mailed check,87.2,4345
2,Male,0,Yes,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Bank transfer (automatic),73.85,1284.2
1,Male,0,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.15,432.5
1,Male,0,No,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,Bank transfer (automatic),61.9,NA
1,Female,0,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),19.65,116.85
2,Female,1,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.55,69.55
1,Female,0,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Electronic check,104.7,6333.8
2,Female,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.5,19.5
2,Female,0,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,79.65,79.65
1,Male,0,No,27,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Electronic check,81.7,2212.55
1,Female,0,No,56,No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,Credit card (automatic),44.85,2564.95
1,Male,0,Yes,72,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,99.4,7285.7
1,Male,0,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.4,181.8
1,Male,0,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.4,743.5
1,Male,0,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.45,136.75
1,Female,0,Yes,51,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,98.85,4947.55
1,Female,0,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,25.1,611.45
2,Male,0,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Credit card (automatic),90.55,2282.55
1,Male,0,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.05,679
